aid,TOEFL or IELTS,GRE or GMAT,本科学校档次,本科学校名称,本科专业,本科成绩和算法、排名,研究生学校档次,研究生学校名称,研究生专业,研究生成绩和算法、排名,其他说明
619600,108,点击查看,本科Top30,,,91/100,海外研究生,BROWN,CS,,
619600,106,328,本科：南大，浙大，复旦，上交,人大,管理科学,3.59,,,,,无
619600,105||29||25||23||28,328||158||170||4,本科Top15,,统计,3.6||3.6,,,,,
619600,107,339,本科：南大，浙大，复旦，上交,,数学与应用数学,3.72,,,,,
619600,,,本科其他985/211,,,,,,,,
619600,,,本科：北大，清华，科大，中科院，特色学校牛专业,,,,,,,,
619600,104(S24),325+4.0,本科：北大，清华，科大，中科院，特色学校牛专业,,能源动力系统及自动化,91.3,研究生：南大，浙大，复旦，上交,,动力工程及工程热物理,3.62,
619600,,,海本,,,,,,,,
619600,,,本科非985/211,,,,,,,,
619600,,,本科：南大，浙大，复旦，上交,,,,,,,,
619600,,321,本科Top30,,点击查看,3.25,,,,,
619600,103,333+3,,天大,点击查看,点击查看,,,,,
619600,,325||155||170||4,海本,,,3.86||4,,,,,
619600,,327,海本,,Math,3.66,海外研究生,,,,数学系主任
619600,,,本科：南大，浙大，复旦，上交,,,,,,,,
619600,108,334,本科Top30,,EE,86.3||3.53,,,,,
619600,,,本科非985/211,,,,,,,,
619600,7.5,155+170+4.0,本科Top30,,英才实验学院,3.91,,,,,
609335,104,332,本科：北大，清华，科大，中科院，特色学校牛专业,中国科学技术大学,数学,2.94,海外研究生,BU,stat,4,
609335,110,325,本科：北大，清华，科大，中科院，特色学校牛专业,,Math,3.9,,,,,
609335,,,本科Top30,,,,,,,,
609335,,,,,,,,,,,
609335,,,海本,,,,,,,,
