aid,申请学校,学位,专业,具体项目名称,申请结果,入学年份,入学学期,通知时间
619600,BROWN,MS,CS,,AD无奖,20,Fall,2020-04-01
619600,哥大,MS,IEOR,哥大or,AD无奖,20,Fall,4.1
619600,DARTMOUTH,MS,BioInfo,QBS,AD小奖,20,Fall,2020-02-14
619600,UPENN,MS,DataScience/Analytics,DataScience,AD无奖,20,Fall,2020-03-27
619600,jhu,MS,Stat/Biostat,jhu ams,AD小奖,20,Fall,2020-03-10
619600,COLUMBIA,MS,CS,CS,AD无奖,20,Fall,2020-03-27
619600,UIUC,MS,CS,MCS,Rej,20,Fall,2020-04-01
619600,BROWN,MS,Stat/Biostat,Biostat,AD小奖,20,Fall,2020-03-14
619600,UCLA,MS,ME,MAE,Rej,20,Fall,2020-03-27
619600,Brown,MS,Stat/Biostat,Biostat,AD小奖,20,Fall,2020-03-18
619600,BROWN,MS,Stat/Biostat,AM Biostatistics,AD小奖,20,Fall,2020-03-10
619600,UCSD,MS,EE,,AD无奖,20,Fall,2020-04-01
619600,UIUC,MS,CS,MCS,AD无奖,20,Fall,2020-03-31
619600,Brown University,MS,Stat/Biostat,Biostat,AD小奖,20,Fall,2020-03-05
619600,UNC,MS,Stat/Biostat,Biostat,AD无奖,20,Fall,2020-04-01
619600,DUKE,MS,CS,CS,Rej,20,Fall,2020-03-31
619600,UMICH,MS,CS,CS,AD无奖,20,Fall,2020-04-01
619600,UCSD,MS,EE,ECE,AD无奖,20,Fall,2020-03-31
609335,NORTHWESTERN,PhD,Stat/Biostat,Stat,WaitingList,20,Fall,2020-03-24
609335,BROWN,MS,Stat/Biostat,Biostat,WaitingList,20,Fall,2020-03-24
609335,COLUMBIA,MS,CS,CS,AD无奖,20,Fall,2020-04-01
609335,uiuc,MS,Stat/Biostat,,AD无奖,20,Fall,2020-03-28
609335,PITT,MS,MIS,IS,AD无奖,20,Fall,2020-02-21
